z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
42,95,Mo,204,"0.75 ns",3/2+,-0.404(12),IPAC,"Integral Perturbed Angular Correlation",1984Al11,"ZP A317 107 (84)",indc-nds-0816
42,96,Mo,778,"3.7 ps",2+,+0.79(6),TF,"Transient Field integral perturbed angular correlation",2001Ma17,"PR C63 034312 (01)",indc-nds-0816
42,98,Mo,787,"3.5 ps",2+,+0.97(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
42,99,Mo,0,"65.9 h",1/2+,0.375(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1978Ru04,"PS 18 209 (78)",indc-nds-0794
42,99,Mo,98,"15.5 ns",5/2+,-0.775(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1978Ra21,"PR C18 2494 (78)",indc-nds-0816
42,100,Mo,536,"12.6 ps",2+,+0.94(7),TF,"Transient Field integral perturbed angular correlation",2001Ma17,"PR C63 034312 (01)",indc-nds-0816
42,102,Mo,,,,+0.8(4),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
42,102,Mo,297,"125 ps",2+,0.76(13),IPAC,"Integral Perturbed Angular Correlation",1985Me13,"ZP A321 593 (85)",indc-nds-0816
42,103,Mo,103,"0.43 ns",5/2+,+0.14(3),IPAC,"Integral Perturbed Angular Correlation",2006Or05,"PR C73 054310 (06)",indc-nds-0816
42,103,Mo,354,"1.20 ns",7/2-,-0.33(11),IPAC,"Integral Perturbed Angular Correlation",2006Or05,"PR C73 054310 (06)",indc-nds-0816
42,103,Mo,0,"67.5 s",3/2+,-0.27(2),TLS,"Trapped Laser Spectroscopy",2009Ch09,"PL B674 23 (09)",indc-nds-0794
42,104,Mo,192,"0.9 ns",2+,+0.54(4),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
42,105,Mo,233,"0.11 ns",9/2-,-0.12(16),IPAC,"Integral Perturbed Angular Correlation",2006Or05,"PR C73 054310 (06)",indc-nds-0816
42,105,Mo,95,"0.48 ns",7/2-,-0.22(3),IPAC,"Integral Perturbed Angular Correlation",2006Or05,"PR C73 054310 (06)",indc-nds-0816
42,105,Mo,0,"35.6 s",(5/2-),-0.55(2),TLS,"Trapped Laser Spectroscopy",2009Ch09,"PL B674 23 (09)",indc-nds-0794
42,106,Mo,172,"1.25 ns",2+,+0.42(4),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
42,108,Mo,193,"0.50 ns",2+,+1.0(6),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
43,92,Tc,2002,"3.2 ns",11-,+8.9(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1996Tu03,"PR C54 2904 (96)",indc-nds-0816
43,93,Tc,0,"2.75 h",9/2+,6.32(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Hi06,"ZP A350 311 (95)",indc-nds-0794
43,93,Tc,2185,"10.2 ms",17/2-,+10.46(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1977Ha49,"NP A293 248 (77)",indc-nds-0816
43,94,Tc,0,"293 m",7+,5.12(5),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Hi06,"ZP A350 311 (95)",indc-nds-0794
43,95,Tc,0,"20.0 h",9/2+,5.94(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Hi06,"ZP A350 311 (95)",indc-nds-0794
43,96,Tc,0,"4.28 d",7+,5.09(5),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Hi06,"ZP A350 311 (95)",indc-nds-0794
43,96,Tc,121,"26 ns",(2)-,-0.47(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1977BeWG,"Cf77Tash 370 (77)",indc-nds-0816
43,97,Tc,0,"4.2x106 y",9/2+,5.82(9),LRS,"Laser Resonance Spectroscopy",2017Ra01,"HFI 238 15 (2017)",indc-nds-0794
43,99,Tc,141,"0.19 ns",7/2+,+4.48(15),IPAC,"Integral Perturbed Angular Correlation",1993Al23,"ZP A347 1 (93)",indc-nds-0816
43,99,Tc,181,"3.61 ns",5/2+,3.48(4),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Hi06,"ZP A350 311 (95)",indc-nds-0794
44,93,Ru,2082,"2.5 ms",21/2+,+8.97(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Gr33,"HFI 15 65 (83)",indc-nds-0816
44,93,Ru,2280,"35 ns",17/2-,+4.4(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Gr33,"HFI 15 65 (83)",indc-nds-0816
44,94,Ru,4489,"0.76 ns",11-,14.1(1.7),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1999Ju04,"EurPJ A6 29 (99)",indc-nds-0816
44,94,Ru,4716,"24 ps",12+,12.4(1.7),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1999Ju04,"EurPJ A6 29 (99)",indc-nds-0816
44,94,Ru,2498,"65 ns",6+,+8.12(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1977Ha49,"NP A293 248 (77)",indc-nds-0816
44,94,Ru,2644,"71 ms",8+,+11.10(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1977Ha49,"NP A293 248 (77)",indc-nds-0816
44,95,Ru,3908,"36 ps",25/2-,11(4),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1999Ju04,"EurPJ A6 29 (99)",indc-nds-0816
44,95,Ru,6211,"9.5 ps",29/2+,9(5),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1999Ju04,"EurPJ A6 29 (99)",indc-nds-0816
44,95,Ru,7624,"21 ps",35/2+,7(2),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1999Ju04,"EurPJ A6 29 (99)",indc-nds-0816
44,95,Ru,0,"1.64 h",5/2+,0.861(7),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1991Hi17,"NP A534 339 (91)",indc-nds-0794
44,95,Ru,2285,"3 ns",17/2+,+6.98(14),TDPAC,"Time Dependent Perturbed Angular Correlation",1976Le30,"BRASP 40 6-128 (76)",indc-nds-0816
44,95,Ru,2540,"10 ns",21/2+,+9.17(7),TDPAD,"Time Dependent Perturbed Angular Distribution",1988Gr34,"PRL 61 1249 (88)",indc-nds-0816
44,96,Ru,1515,"6.9 ps",4+,+2.3(3),TF,"Transient Field integral perturbed angular correlation",2012To01,"PR C85 017305 (12)",indc-nds-0816
44,96,Ru,833,"2.9 ps",2+,+0.89(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (11)",indc-nds-0816
44,97,Ru,0,"2.8 d",5/2+,(-)0.787(8),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1985Ed06/1980Le09,"PR C32 1707 (85)/PR C21 2581 (80)",indc-nds-0794
44,97,Ru,2739,"7.8 ns",21/2+,+9.2(8),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Di18,"RRou 27 731 (82)",indc-nds-0816
44,98,Ru,652,"5.5 ps",2+,+0.82(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (11)",indc-nds-0816
44,99,Ru,0,stable,5/2+,-0.641(5),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1977Bu04,"ZP A280 217 (77)",indc-nds-0794
44,99,Ru,,,,-0.292(3),ME,"Mossbauer Effect",1989Ra17,"JDal 1253 (73)",indc-nds-0816
44,99,Ru,90,"20.5 ns",3/2+,-0.284(6),TDPAC,"Time Dependent Perturbed Angular Correlation",1965Ma27,"PR 139 B532 (65) ",indc-nds-0816
44,100,Ru,540,"12.6 ps",2+,+0.86(5),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (11)",indc-nds-0816
44,101,Ru,0,stable,5/2+,-0.718(6),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1977Bu04,"ZP A280 217 (77)",indc-nds-0794
44,101,Ru,127,"0.65 ns",3/2+,-0.210(5),TDPAC,"Time Dependent Perturbed Angular Correlation",1986Sc15,"PR C33 2176 (86)",indc-nds-0816
44,102,Ru,475,"18 ps",2+,+0.91(5),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (11)",indc-nds-0816
44,103,Ru,0,"39.2 d",3/2+,0.206(3),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1990Hi02,"NP A509 541 (90)",indc-nds-0794
44,104,Ru,358,"56 ps",2+,+0.81(4),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (11)",indc-nds-0816
44,105,Ru,0,4.44h,3/2+,(-)0.32(+8/-20),NO/S,"Static Nuclear Orientation with gamma detection",1981Lu04,"ZP A299 353 (81)",indc-nds-0794
44,106,Ru,270,"0.20 ns",2+,+0.6(2),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
44,108,Ru,242,"0.36 ns",2+,+0.43(8),IPAC,"Integral Perturbed Angular Correlation",2005Sm08,"J Phys. G 31 S1433 (05)",indc-nds-0816
44,110,Ru,241,"0.32 ns",2+,+0.84(12),IPAC,"Integral Perturbed Angular Correlation",2005Sm08,"J Phys. G 31 S1433 (05)",indc-nds-0816
44,112,Ru,237,"0.32 ns",2+,+0.9(2),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
45,95,Rh,2236,"19 ns",17/2-,+10.9(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Gr33,"HFI 15 65 (83)",indc-nds-0816
45,99,Rh,65,"4.7 h",9/2+,5.62(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1995Se20,"PR B51 11484 (95)",indc-nds-0794
45,100,Rh,75,"215 ns",2+,+4.324(8),TDPAC,"Time Dependent Perturbed Angular Correlation",1966Ma54,"NIM 45 309 (66)",indc-nds-0816
