z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
48,108,Cd,4710,"10 ps",12+,-2.4(8),TF,"Transient Field integral perturbed angular correlation",2015Fa06,"HFI 230 155 (2015)",indc-nds-0816
48,108,Cd,5504,"1.5 ps",14+,-1.5(6),TF,"Transient Field integral perturbed angular correlation",2015Fa06,"HFI 230 155 (2015)",indc-nds-0816
48,108,Cd,633,"6.9 ps",2+,+0.78(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
48,108,Cd,6460,"0.4 ps",16+,-1.4(5),TF,"Transient Field integral perturbed angular correlation",2015Fa06,"HFI 230 155 (2015)",indc-nds-0816
48,109,Cd,0,"461 d",5/2+,-0.8266(4),OP/RD,"Optical Pumping with Radiative Detection",1972Sp09,"PL 42A 273 (72)",indc-nds-0794
48,109,Cd,463,"10.9 ms",11/2-,-1.096(2),SOPAD,"Stroboscopic Observation of Perturbed Angular Distribution",1971BiZI,"Cf70HI 356 (70)",indc-nds-0816
48,110,Cd,3611,"0.49 ns",10+,-0.9(3),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1995Re15,"NP A591 533 (95)",indc-nds-0816
48,110,Cd,658,"5.0 ps",2+,+0.81(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
48,111,Cd,0,stable,1/2+,-0.5940(3),OP/RD,"Optical Pumping with Radiative Detection",1972Sp09,"PL 42A 273 (72)",indc-nds-0794
48,111,Cd,245,"84 ns",5/2+,-0.766(3),TDPAC,"Time Dependent Perturbed Angular Correlation",1974Be51,"ZP 270 203 (74)",indc-nds-0816
48,111,Cd,342,"24 ps",3/2+,+0.9(6),TF,"Transient Field integral perturbed angular correlation",2016St09,"PR C93 031302 (2016)",indc-nds-0816
