z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"electric quadrupole [b]",method,description,nsr,journal,indc
80,190,Hg,2621,"23 ns",12+,1.17(14),TDPAD,"Time Dependent Perturbed Angular Distribution",1984Dr09,"PL B149 311 (1984)",indc-nds-0833
80,193,Hg,0,"3.80 h",3/2-,-0.7(3),O,"Optical Spectroscopy",1974Fu06,"PR A9 593 (1974)",indc-nds-0833
80,195,Hg,176,"41.6 h",13/2+,+1.08(2),O,"Optical Spectroscopy",1965Sm01,"PR A137 330 (1965)",indc-nds-0833
80,197,Hg,134,"8.1 ns",5/2-,+0.081(6),TDPAC,"Time Dependent Perturbed Angular Correlation",1980He05,"NP A337 261 (1980)",indc-nds-0833
80,198,Hg,412,"23 ps",2+,"+0.68(12) or +0.84(12)",CER,"Coulomb excitation reorientation",1979Bo16,"ZP A291 245 (1979)",indc-nds-0833
80,199,Hg,158,"2.45 ns",5/2-,+0.95(7),Mu-X,"Muonic X-ray Hyperfine Structure",1979Ha08,"NP A314 361 (1979)",indc-nds-0833
80,200,Hg,368,"46.4 ps",2+,"+0.96(11) or +1.11(11)",CER,"Coulomb excitation reorientation",1979Bo16,"ZP A291 245 (1979)",indc-nds-0833
80,202,Hg,440,"27.3 ps",2+,"+0.87(13) or +1.01(13)",CER,"Coulomb excitation reorientation",1980Sp05,"NP A345 252 (1980)",indc-nds-0833
80,203,Hg,0,"46.6 d",5/2-,+0.344(7),O,"Optical Spectroscopy",1970Re14,"PR A2 1135 (1970)",indc-nds-0833
80,204,Hg,437,"40.3 ps",2+,+0.4(2),CER,"Coulomb excitation reorientation",1981Es03,"NP A362 227 (1981)",indc-nds-0833
80,206,Hg,2102,"2.15 ms",5-,0.74(15),TDPAD,"Time Dependent Perturbed Angular Distribution",1984Ma43,"PR C30 1702 (1984)",indc-nds-0833
81,187,Tl,335,"15.6 s",(9/2-),-2.43(5),CLS,"Resonance Cell Laser Spectroscopy",1993ScZW,"IoP Conf 132 221 (1993)",indc-nds-0833
81,188,Tl,"0 + x","71 s",7+,+0.129(4),CLS,"Resonance Cell Laser Spectroscopy",1992Me07,"ZP A341 475 (1992)",indc-nds-0833
81,189,Tl,281,"1.4 m",9/2-,-2.29(4),CLS,"Resonance Cell Laser Spectroscopy",1987Bo44,"PR C36 2560 (1987)",indc-nds-0833
81,190,Tl,"0 + x","2.6 m",2-,-0.329(9),CLS,"Resonance Cell Laser Spectroscopy",1992Me07,"ZP A341 475 (1992)",indc-nds-0833
81,191,Tl,299,"5.2 m",9/2-,-2.23(2),CLS,"Resonance Cell Laser Spectroscopy",1992Me07,"ZP A341 475 (1992)",indc-nds-0833
81,192,Tl,"0 + x","9.6 m",2-,-0.328(11),CLS,"Resonance Cell Laser Spectroscopy",1992Me07,"ZP A341 475 (1992)",indc-nds-0833
81,193,Tl,365,2.11m,9/2-,-2.20(2),CLS,"Resonance Cell Laser Spectroscopy",1987Bo44,"PR C36 2560 (1987)",indc-nds-0833
81,194,Tl,0,"33.0 m",2-,-0.282(7),CLS,"Resonance Cell Laser Spectroscopy",1992Me07,"ZP A341 475 (1992)",indc-nds-0833
81,196,Tl,0,"1.84 h",2-,-0.178(14),CLS,"Resonance Cell Laser Spectroscopy",1992Me07,"ZP A341 475 (1992)",indc-nds-0833
81,205,Tl,204,"1.46 ns",3/2+,+0.74(15),Mu-X,"Muonic X-ray Hyperfine Structure",1972Ch07,"NP A181 25 (1972)",indc-nds-0833
82,191,Pb,138,"2.18 m",13/2+,+0.085(5),CLS,"Resonance Cell Laser Spectroscopy",1991Du07,"ZP A341 39 (1991)",indc-nds-0833
82,192,Pb,2581+d,"1.09 ms",12+,0.32(4),TDPAD,"Time Dependent Perturbed Angular Distribution",2007Io03,"PL B650 141 (2007)",indc-nds-0833
82,193,Pb,100,"5.8 m",13/2+,+0.195(10),CLS,"Resonance Cell Laser Spectroscopy",1991Du07,"ZP A341 39 (1991)",indc-nds-0833
82,194,Pb,2628,"370 ns",(12+),0.49(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1985St16,"ZP A322 83 (1985)",indc-nds-0833
82,195,Pb,203,"15.0 m",13/2+,+0.306(15),CLS,"Resonance Cell Laser Spectroscopy",1991Du07,"ZP A341 39 (1991)",indc-nds-0833
82,196,Pb,2694,"270 ns",12+,0.65(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1981Zy02,"HFI 9 109 (1981)",indc-nds-0833
82,197,Pb,0,"8.1 m",3/2-,-0.08(17),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,198,Pb,2822,"212 ns",(12)+,0.75(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1981Zy02,"HFI 9 109 (1981)",indc-nds-0833
82,199,Pb,0,"1.5 h",3/2-,'+0.08(9),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,200,Pb,2154,"45.1 ns",(7-),0.32(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1979MaYq,"AECL-6680 27 (1979)",indc-nds-0833
82,201,Pb,0,"9.33 h",5/2-,0.01(4),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,202,Pb,2170,"3.54 h",9-,+0.58(9),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,203,Pb,0,"51.9 h",5/2-,+0.10(5),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,204,Pb,899,"2.88 ps",2+,+0.23(9),CER,"Coulomb excitation reorientation",1978Jo04,"PL B72 307 (1978)",indc-nds-0833
82,205,Pb,0,"1.73 107 y",5/2-,+0.23(4),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,206,Pb,803,"8.3 ps",2+,+0.05(9),CER,"Coulomb excitation reorientation",1978Jo04,"PL B72 307 (1978)",indc-nds-0833
82,208,Pb,2615,"16.7 ps",3-,-0.34(15),CER,"Coulomb excitation reorientation",1984Ve07,"AuJP 37 123 (1984)",indc-nds-0833
82,209,Pb,0,"3.23 h",9/2+,-0.27(17),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
82,211,Pb,0,"36.1 m",9/2+,+0.09(6),CLS,"Resonance Cell Laser Spectroscopy",1986An06,"ZP A451 471 (1986)",indc-nds-0833
83,205,Bi,0,"15.3 d",9/2-,-0.81(3),LRFS,"Laser Resonance Fluorescence Spectroscopy",2000Pe30,"J Phys G26 1829(2000)",indc-nds-0833
83,206,Bi,0,"6.243 d",6+,-0.54(4),LRFS,"Laser Resonance Fluorescence Spectroscopy",2000Pe30,"J Phys G26 1829(2000)",indc-nds-0833
83,207,Bi,0,"31.6 y",9/2-,-0.76(2),LRFS,"Laser Resonance Fluorescence Spectroscopy",2000Pe30,"J Phys G26 1829(2000)",indc-nds-0833
83,208,Bi,0,"3.7 105 y",5+,-0.70(8),LRFS,"Laser Resonance Fluorescence Spectroscopy",2000Pe30,"J Phys G26 1829(2000)",indc-nds-0833
83,209,Bi,0,"2.0 1019 y",9/2-,-0.516(15),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1970Hu05,"PR A1 685 (1970)",indc-nds-0833
83,210,Bi,0,"5.01 d",1-,+0.190(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1962Al02,"PR 125 256 (1962)",indc-nds-0833
83,211,Bi,0,"2.14 m",9/2-,-0.7(3),LRS,"Laser Resonance Spectroscopy",2018Ba03,"PR C97 014322 (2018)",indc-nds-0833
83,212,Bi,0,"60.6 m",1(-),+0.1(4),LRFS,"Laser Resonance Fluorescence Spectroscopy",2000Pe30,"J Phys G26 1829(2000)",indc-nds-0833
83,213,Bi,0,"45.6 m",9/2-,-0.83(5),LRFS,"Laser Resonance Fluorescence Spectroscopy",2000Pe30,"J Phys G26 1829(2000)",indc-nds-0833
84,193,Po,0,"388 ms",(3/2-),-1.3(3),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,195,Po,0,"4.64 s",(3/2-),-0.9(3),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,197,Po,0,"84 s",(3/2-),-0.4(2),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,198,Po,605,¬,2+,+2.1(11),CER,"Coulomb excitation reorientation",2015Ke06,"PR C92 054301 (2015)",indc-nds-0833
84,199,Po,0,"5.47 m",(3/2-),-0.27(15),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,200,Po,666,¬,2+,+0.05(15),CER,"Coulomb excitation reorientation",2015Ke06,"PR C92 054301 (2015)",indc-nds-0833
84,201,Po,0,"15.6 m",3/2-,+0.1(1),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,202,Po,677,¬,2+,-0.5(9),CER,"Coulomb excitation reorientation",2015Ke06,"PR C92 054301 (2015)",indc-nds-0833
84,203,Po,0,"36.7 m",5/2-,+0.17(10),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,204,Po,1639,"154 ns",8+,(-)1.14(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1987Ma65,"HFI 34 47 (1987)",indc-nds-0833
84,206,Po,1586,"232 ns",8+,(-)1.02(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1987Ma65,"HFI 34 47 (1987)",indc-nds-0833
84,207,Po,0,"5.80 h",5/2-,+0.28(3),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
84,208,Po,1528,"350 ns",8+,(-)0.90(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1987Ma65,"HFI 34 47 (1987)",indc-nds-0833
84,209,Po,1473,"89 ns",17/2-,(-)0.39(8),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Da01,"NP A394 245 (1983)",indc-nds-0833
84,210,Po,1557,"99 ns",8+,[-0.55(2)],"not measured","The value is an estimation",1991Be03,"NP A522 483 (1991)",indc-nds-0833
84,211,Po,0,"0.516 s",9/2+,-0.77(15),LRIS,"Laser Resonance Ionization",2014Se07,"PR C89 034323 (2014)",indc-nds-0833
85,195,At,33,"143 ms",(7/2-),-2.04(10),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,196,At,0,"387 ms",(3+),-0.6(4),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,197,At,0,"381 ms",(9/2-),-1.2(6),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,198,At,0,"4.1 s",(3+),-0.6(3),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,199,At,0,"6.92 s",(9/2-),-1.0(5),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,200,At,0,"43 s",(3+),-0.5(5),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,201,At,0,"83 s",(9/2-),-1.0(5),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,202,At,0,"184 s",(3+),-0.5(3),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,203,At,0,"7.4 m",(9/2-),-0.7(4),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,204,At,0,"9.1 m",7+,-0.6(3),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,205,At,0,"26.9 m",9/2-,-0.6(3),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,206,At,0,"30.6 m",(6+),-0.4(2),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,207,At,0,"1.81 h",9/2-,-0.5(3),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,208,At,0,"1.63 h",6+,-0.4(3),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,209,At,0,"5.42 h",9/2-,-0.4(2),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,210,At,0,"8.1 h",(5)+,-0.4(2),LRIS,"Laser Resonance Ionization",2018Cu02,"PR C97 054327 (2018)",indc-nds-0833
85,211,At,1417,"35.1 ns",21/2-,[(-)0.524(10)],"not measured","The value is an estimation",1995Ba66,"NP A591 104 (1996)",indc-nds-0833
86,203,Rn,362,"26.9 s",(13/2+),+1.28(13),CLS,"Resonance Cell Laser Spectroscopy",1987OtZW,"CERN EP/87 51 (1987)",indc-nds-0833
86,205,Rn,0,"2.83 m",5/2-,+0.062(6),CLS,"Resonance Cell Laser Spectroscopy",1987OtZW,"CERN EP/87 51 (1987)",indc-nds-0833
86,207,Rn,0,"9.3 m",5/2-,+0.22(2),CLS,"Resonance Cell Laser Spectroscopy",1987OtZW,"CERN EP/87 51 (1987)",indc-nds-0833
86,208,Rn,1828,"487 ns",8+,0.41(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1986Be40,"PL B182 11 (1986)",indc-nds-0833
86,210,Rn,1665+x,"644 ns",(8+),0.32(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1986Be40,"PL B182 11 (1986)",indc-nds-0833
86,211,Rn,1578+x,"596 ns",17/2-,0.19(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1985Da14,"PRL 55 1269 (1985)",indc-nds-0833
86,212,Rn,1694,"0.91 ms",8+,[-0.18(2)],"not measured","The value is an estimation",1985Da13,"NP A441 501 (1985)",indc-nds-0833
86,219,Rn,0,"3.96 s",5/2+,+1.15(12),CLS,"Resonance Cell Laser Spectroscopy",1987OtZW,"CERN EP/87 51 (1987)",indc-nds-0833
86,221,Rn,0,"25 m",7/2+,-0.47(5),CLS,"Resonance Cell Laser Spectroscopy",1987OtZW,"CERN EP/87 51 (1987)",indc-nds-0833
86,223,Rn,0,"24.3 m",7/2,+0.80(8),CLS,"Resonance Cell Laser Spectroscopy",1988NeZZ,"Bk88 NFFS 126 (1988)",indc-nds-0833
86,225,Rn,0,"4.66 m",7/2-,+0.84(8),CLS,"Resonance Cell Laser Spectroscopy",1988NeZZ,"Bk88 NFFS 126 (1988)",indc-nds-0833
87,203,Fr,0,"0.55 s",(9/2-),-0.47(2),CLS,"Resonance Cell Laser Spectroscopy",2017Wi11,"PR C96 034317 (2017)",indc-nds-0833
87,204,Fr,0,"1.8 s",(3+),-0.141(9),CLS,"Resonance Cell Laser Spectroscopy",2015Vo05,"PR C91 044307 (2015)",indc-nds-0833
87,205,Fr,0,"3.9 s",(9/2-),-0.305(18),"CLS ","Resonance Cell Laser Spectroscopy",2016Ly01,"PR C93 014319 (2016)",indc-nds-0833
87,206,Fr,0,"16 s",3+,-0.354(9),"CLS ","Resonance Cell Laser Spectroscopy",2016Ly01,"PR C93 014319 (2016)",indc-nds-0833
87,207,Fr,0,"14.8 s",9/2-,-0.24(2),CLS,"Resonance Cell Laser Spectroscopy",2017Wi11,"PR C96 034317 (2017)",indc-nds-0833
87,208,Fr,0,59.1,7+,+0.052(11),CLS,"Resonance Cell Laser Spectroscopy",2015Vo05,"PR C91 044307 (2015)",indc-nds-0833
87,209,Fr,0,"50.5 s",9/2-,-0.26(2),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,210,Fr,0,"3.18 m",6+,+0.21(2),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,211,Fr,0,"3 10 m",9/2-,-0.21(2),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,212,Fr,0,"20.0 m",5+,-0.100(2),CLS,"Resonance Cell Laser Spectroscopy",1987Du13,"Europhys Lett 3 175 (1987) ",indc-nds-0833
87,213,Fr,0,"34.8 s",9/2-,-0.138(3),CLS,"Resonance Cell Laser Spectroscopy",1987Du13,"Europhys Lett 3 175 (1987) ",indc-nds-0833
87,214,Fr,638,"103 ns",11+,0.8(2),LEMS,"Level Mixing Spectroscopy",1995Ne06,"PR C51 3483 (1995)",indc-nds-0833
87,219,Fr,0,"22.5 ms",5/2-,-1.19(2),CLS,"Resonance Cell Laser Spectroscopy",2015De28,"PRL 115 132501 (2015)",indc-nds-0833
87,220,Fr,0,"27.4 s",1+,+0.487(8),CLS,"Resonance Cell Laser Spectroscopy",1987Du13,"Europhys Lett 3 175 (1987) ",indc-nds-0833
87,221,Fr,0,"4.9 m",5/2-,-1.02(3),CLS,"Resonance Cell Laser Spectroscopy",2015De28,"PRL 115 132501 (2015)",indc-nds-0833
87,222,Fr,0,"14.2 m",2-,+0.51(4),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,223,Fr,0,"22.0 m",3/2(-),+1.18(2),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,224,Fr,0,"3.3 m",1(-),+0.523(9),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,225,Fr,0,"3.95 m",3/2-,+1.33(2),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,226,Fr,0,"49 s",1,-1.37(3),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
87,228,Fr,0,"38 s",2-,+2.41(6),ABLS,"Atomic Beam Laser Spectroscopy",1985Co24,"PL B163 66 (1985)",indc-nds-0833
88,209,Ra,0,"4.8 s",5/2-,+0.39(4),CLS,"Resonance Cell Laser Spectroscopy",1989Ne03,"ZP D11 105 (1989)",indc-nds-0833
88,211,Ra,0,13s,5/2-,+0.46(4),CLS,"Resonance Cell Laser Spectroscopy",1989Ne03,"ZP D11 105 (1989)",indc-nds-0833
88,221,Ra,0,"28 s",5/2-,+1.92(6),CLS,"Resonance Cell Laser Spectroscopy",1989Ne03,"ZP D11 105 (1989)",indc-nds-0833
88,223,Ra,0,"11.43 d",3/2+,+1.22(3),CLS,"Resonance Cell Laser Spectroscopy",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
88,227,Ra,0,"42.2 m",3/2+,+1.53(6),CLS,"Resonance Cell Laser Spectroscopy",1989Ne03,"ZP D11 105 (1989)",indc-nds-0833
88,229,Ra,0,"4.0 m",5/2(+),+2.99(12),CLS,"Resonance Cell Laser Spectroscopy",1989Ne03,"ZP D11 105 (1989)",indc-nds-0833
90,229,Th,0,"7880 y",5/2+,+3.11(6),O,"Optical Spectroscopy",2011Ca17,"PRL 106 223001 (2011)",indc-nds-0833
91,231,Pa,0,"3.3 104 y",3/2-,[-1.72(5)],"not measured","The value is an estimation",1978Fr28,"PL A69 225 (1975)",indc-nds-0833
91,233,Pa,0,"27.0 d",3/2-,-3.0(4),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1961Ma42,"NP 23 90 (1961)",indc-nds-0833
92,233,U,0,"1.6 105 y",5/2+,+3.663(8),Mu-X,"Muonic X-ray Hyperfine Structure",1984Zu02,"PRL 53 1888 (1984)",indc-nds-0833
92,235,U,0,"7.0 108 y",7/2-,+4.936(6),Mu-X,"Muonic X-ray Hyperfine Structure",1984Zu02,"PRL 53 1888 (1984)",indc-nds-0833
93,237,Np,0,"2.1 106 y",5/2+,+3.886(6),Mu-X,"Muonic X-ray Hyperfine Structure",1987De10,"PL B189 7 (1987)",indc-nds-0833
94,239,Pu,8,"36 ps",3/2+,-2.319(7),Mu-X,"Muonic X-ray Hyperfine Structure",1986Zu01,"PL B167 383 (1986)",indc-nds-0833
94,241,Pu,0,"14.3 y",5/2+,+6(2),O,"Optical Spectroscopy",1964Ch12,"JPPa 25 825 (1964)",indc-nds-0833
95,241,Am,0,"432.6 y",5/2-,+4.34(5),Mu-X,"Muonic X-ray Hyperfine Structure",1985Jo04,"PL B161 75 (1985)",indc-nds-0833
95,242,Am,0,"16.0 h",1-,-2.44((3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1966Ar04,"PR 144 994 (1966)",indc-nds-0833
95,243,Am,0,"7364 y",5/2-,+4.32(6),Mu-X,"Muonic X-ray Hyperfine Structure",1985Jo04,"PL B161 75 (1985)",indc-nds-0833
99,253,Es,0,"20.5 d",7/2+,+6.7(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1975Go05,"PR A11 499 (1975)",indc-nds-0833
99,254,Es,84,"39.3 h",2+,+3.7(5),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1975Go05,"PR A11 499 (1975)",indc-nds-0833
102,253,No,0,"1.62 m",(9/2-),+5.9(17),CLS,"Resonance Cell Laser Spectroscopy",2018Ra11,"PRL 120 232503 (2018)",indc-nds-0833
